"Tipologia","Frecuencia","Porcentaje","Nodos","Aristas","Densidad","intergeneracional","padrastros","suegros","nodos_aislados","monoparental"
"T1",10371,16.49,1,0,NA,0,0,0,1,0
"T2",9009,14.32,2,2,1,0,0,0,0,0
"T3",6721,10.68,3,4,0.6667,0,0,0,0,0
"T4",6616,10.52,2,1,0.5,0,0,0,0,1
"T5",5395,8.58,4,6,0.5,0,0,0,0,0
"T6",3875,6.16,3,2,0.3333,0,0,0,0,1
"T7",1718,2.73,5,8,0.4,0,0,0,0,0
"T8",1637,2.6,2,0,0,0,0,0,1,0
"T9",1377,2.19,4,3,0.25,0,0,0,0,1
"T10",1053,1.67,3,2,0.3333,1,0,0,0,0
"T11",909,1.44,3,2,0.3333,0,0,0,1,0
"T12",832,1.32,3,3,0.5,0,1,0,0,0
"T13",685,1.09,3,1,0.1667,0,0,0,1,1
"T14",658,1.05,4,5,0.4167,0,1,0,0,0
"T15",578,0.92,4,5,0.4167,1,0,0,0,0
"T16",479,0.76,4,4,0.3333,0,0,0,1,0
"T17",453,0.72,4,3,0.25,1,0,0,0,0
"T18",438,0.7,4,5,0.4167,0,0,1,0,0
"T19",425,0.68,4,3,0.25,1,0,0,0,0
"T20",420,0.67,3,3,0.5,0,0,1,0,0
"T21",383,0.61,3,0,0,0,0,0,1,0
"T22",365,0.58,5,7,0.35,1,0,0,0,0
"T23",349,0.55,5,7,0.35,0,0,1,0,0
"T24",303,0.48,6,10,0.3333,0,0,0,0,0
"T25",302,0.48,4,4,0.3333,0,1,0,0,0
"T26",289,0.46,4,2,0.1667,0,0,0,1,1
"T27",277,0.44,5,4,0.2,0,0,0,0,1
"T28",256,0.41,5,7,0.35,0,1,0,0,0
"T29",249,0.4,5,6,0.3,0,0,0,1,0
"T30",202,0.32,4,2,0.1667,0,0,0,1,0
"T31",201,0.32,5,6,0.3,1,0,0,0,0
"T32",144,0.23,5,4,0.2,1,0,0,0,0
"T33",143,0.23,4,1,0.0833,0,0,0,1,1
"T34",138,0.22,5,8,0.4,0,0,1,0,0
"T35",138,0.22,4,6,0.5,0,0,1,0,0
"T36",136,0.22,5,4,0.2,1,0,0,0,0
"T37",128,0.2,5,6,0.3,0,1,0,0,0
"T38",120,0.19,5,4,0.2,1,0,0,0,0
"T39",102,0.16,6,9,0.3,0,0,1,0,0
"T40",101,0.16,6,10,0.3333,0,0,1,0,0
"T41",100,0.16,4,2,0.1667,1,0,0,1,0
"T42",99,0.16,6,9,0.3,1,0,0,0,0
"T43",95,0.15,6,8,0.2667,0,0,0,1,0
"T44",92,0.15,6,10,0.3333,0,0,1,0,0
"T45",89,0.14,4,0,0,0,0,0,1,0
"T46",87,0.14,5,5,0.25,0,1,0,0,0
"T47",86,0.14,6,8,0.2667,1,0,0,0,0
"T48",84,0.13,4,4,0.3333,1,1,0,0,0
